455
5
10111 1.0
00XX0 1.0
00000 1.0
100X0 0.5
100X1 0.5
000X0 0.5
001X0 0.5
10001 0.25
10001 0.25
10001 0.25
10001 0.25
00XX0 1.0
10000 1.0
1X110 1.0
10110 1.0
1XX10 1.0
1011X 1.0
10000 1.0
100X1 1.0
10110 1.0
10110 1.0
10110 1.0
10000 1.0
00010 1.0
00000 1.0
1X010 1.0
10111 0.5
10011 0.5
10010 1.0
10X10 1.0
10XX0 1.0
00000 1.0
10001 1.0
10000 1.0
X0000 1.0
00010 0.5
00010 0.5
10000 1.0
10001 1.0
10011 1.0
10110 1.0
10000 1.0
00000 1.0
10000 1.0
10000 1.0
10010 1.0
101X1 1.0
00000 1.0
10000 1.0
10XX0 1.0
10000 1.0
1XX01 1.0
000X0 1.0
10000 1.0
10011 1.0
10010 1.0
10011 1.0
000X0 1.0
10000 1.0
10111 0.125
10111 0.125
10111 0.125
10111 0.125
10011 0.125
10011 0.125
10011 0.125
10011 0.125
10000 1.0
00000 1.0
00010 1.0
10000 1.0
00000 1.0
X0000 1.0
00X10 1.0
100X0 1.0
10111 1.0
10000 1.0
10001 1.0
10111 1.0
11X00 1.0
00001 1.0
00000 1.0
10001 1.0
00000 1.0
00XX0 1.0
0011X 1.0
00000 1.0
000XX 1.0
1XXX0 1.0
101X0 1.0
0X010 0.25
0X010 0.25
0X010 0.25
0X010 0.25
100X0 0.25
100X0 0.25
100X0 0.25
100X0 0.25
10010 0.5
10010 0.5
10110 1.0
100X0 1.0
0000X 1.0
10010 1.0
000X0 1.0
00000 1.0
00110 1.0
00X10 1.0
0001X 1.0
00X10 1.0
0001X 1.0
10X1X 1.0
10000 0.25
10000 0.25
10000 0.25
10000 0.25
00001 1.0
0001X 1.0
X0X10 1.0
10000 1.0
10100 1.0
0000X 1.0
10010 1.0
10010 1.0
00000 1.0
001X0 1.0
10000 1.0
00000 1.0
0001X 1.0
11011 1.0
10000 1.0
00011 1.0
0011X 1.0
10000 1.0
000X0 0.5
000X0 0.5
0001X 1.0
0001X 1.0
10000 1.0
0001X 1.0
0001X 1.0
0001X 1.0
0001X 1.0
10000 1.0
0011X 1.0
X000X 1.0
0001X 1.0
000X0 1.0
10110 1.0
0010X 1.0
0000X 1.0
100X0 1.0
00010 1.0
00100 1.0
10000 1.0
10111 1.0
X0110 1.0
0001X 1.0
00010 1.0
10010 1.0
00X00 1.0
00000 1.0
10010 1.0
X000X 1.0
0001X 1.0
10000 1.0
1001X 1.0
0001X 1.0
10001 1.0
00XXX 1.0
10X00 1.0
0001X 1.0
0011X 1.0
0001X 1.0
0X001 1.0
10111 0.5
10111 0.5
00010 1.0
X011X 1.0
0011X 1.0
0001X 1.0
0000X 1.0
10011 1.0
X0XX0 1.0
10001 1.0
000XX 1.0
X0010 1.0
0001X 1.0
00110 1.0
10X01 1.0
10111 1.0
10001 1.0
10XXX 1.0
0011X 1.0
0000X 1.0
00000 0.5
00000 0.5
X001X 0.5
X000X 0.5
100X0 1.0
10000 1.0
000X1 1.0
10011 1.0
0001X 1.0
000X0 1.0
00000 1.0
10000 1.0
X0110 1.0
10000 1.0
10011 1.0
00000 1.0
100X0 1.0
10000 1.0
10010 1.0
00000 1.0
10110 1.0
10001 1.0
10011 1.0
10011 1.0
10000 1.0
00000 1.0
000X0 1.0
00000 1.0
00010 1.0
10000 1.0
10001 0.25
10001 0.25
10011 0.25
10011 0.25
10001 1.0
100X1 1.0
00000 1.0
00000 1.0
10000 1.0
00000 1.0
00000 1.0
00110 1.0
10000 1.0
00000 1.0
10111 0.5
10111 0.5
00010 1.0
000X0 1.0
X0XX0 1.0
10010 1.0
00000 0.5
00000 0.5
00000 1.0
00000 1.0
10000 1.0
00000 1.0
00000 1.0
10000 1.0
100X0 1.0
10000 1.0
00010 0.5
00010 0.5
00000 1.0
00000 1.0
00010 1.0
10000 1.0
00011 1.0
X0001 1.0
00001 1.0
10001 1.0
100X0 1.0
00000 1.0
10010 0.5
10010 0.5
10010 1.0
01000 1.0
100X1 1.0
10000 1.0
10110 1.0
10011 1.0
X0010 1.0
10101 1.0
10X10 1.0
00000 1.0
10000 1.0
100X1 1.0
10010 1.0
00XX0 1.0
00010 1.0
00000 1.0
10001 1.0
00000 1.0
10110 1.0
10010 1.0
10011 0.5
10010 0.5
10000 1.0
10011 1.0
10000 1.0
10000 1.0
X00X0 1.0
10000 1.0
00000 0.125
00000 0.125
00000 0.125
00000 0.125
00000 0.125
00000 0.125
00000 0.125
00000 0.125
00000 1.0
00000 1.0
10011 1.0
10000 1.0
10001 1.0
00011 1.0
10000 1.0
00000 1.0
00010 1.0
10000 1.0
10010 1.0
10XX0 1.0
00000 1.0
10XX1 1.0
10010 1.0
00000 1.0
10011 1.0
00000 1.0
10001 1.0
00000 1.0
10000 1.0
00000 1.0
10110 1.0
000X0 1.0
10001 1.0
10111 1.0
10010 1.0
10011 1.0
10011 1.0
000X0 1.0
X0001 1.0
00000 1.0
1001X 1.0
10XX0 1.0
00001 1.0
10011 1.0
10000 1.0
10011 1.0
10001 1.0
10000 1.0
10111 1.0
00XX0 1.0
10011 1.0
10000 1.0
10000 1.0
10011 1.0
00000 1.0
1011X 1.0
10011 1.0
10001 1.0
000X0 1.0
X0010 1.0
10011 1.0
10000 1.0
10110 1.0
10111 1.0
10000 1.0
00000 1.0
10010 1.0
10XX1 1.0
10001 1.0
00000 1.0
10000 1.0
10011 1.0
10XX0 1.0
00000 1.0
11111 1.0
10110 1.0
101X1 1.0
1XX11 1.0
10111 1.0
1001X 1.0
00001 1.0
0XX11 1.0
00X10 1.0
10000 1.0
00000 1.0
10X10 1.0
00000 1.0
100X1 1.0
00110 1.0
00000 1.0
100X1 1.0
001XX 1.0
00000 1.0
10010 1.0
00010 1.0
10011 1.0
10XX0 1.0
10001 1.0
10001 1.0
10X1X 1.0
10001 0.5
10001 0.5
10000 1.0
10010 1.0
000X0 1.0
10110 1.0
10110 1.0
00000 1.0
00000 1.0
00000 1.0
00000 1.0
00000 1.0
10000 1.0
10000 1.0
10010 1.0
001X0 1.0
10010 1.0
00000 1.0
00000 1.0
10X10 1.0
00000 1.0
100X0 1.0
10000 1.0
10000 1.0
01000 1.0
00000 1.0
10000 1.0
10000 1.0
100X0 1.0
101X0 1.0
0X110 1.0
000X0 1.0
10111 1.0
11X10 1.0
10111 1.0
00010 1.0
10000 1.0
10011 1.0
10110 1.0
11010 1.0
00000 1.0
X0010 1.0
00000 1.0
1X111 1.0
00000 1.0
00X00 1.0
00000 0.25
10000 0.25
00000 0.25
10000 0.25
00000 1.0
00000 0.5
00000 0.5
10000 1.0
00000 1.0
1000X 1.0
10000 1.0
10011 1.0
