455
5
0111X 1.0
00XX1 1.0
00001 1.0
000X1 0.5
000X1 0.5
000X1 0.5
001X1 0.5
10000 0.25
10000 0.25
10001 0.25
10001 0.25
00XX1 1.0
10001 1.0
0X111 1.0
00111 1.0
11X11 1.0
0X110 1.0
10001 1.0
000X1 1.0
00111 1.0
00111 1.0
01111 1.0
00001 1.0
00010 1.0
00000 1.0
0X011 1.0
0111X 0.5
0101X 0.5
00011 1.0
10X11 1.0
10XXX 1.0
00000 1.0
10001 1.0
10001 1.0
00001 1.0
00011 0.5
00011 0.5
10001 1.0
10001 1.0
10010 1.0
00110 1.0
10001 1.0
00001 1.0
10000 1.0
10001 1.0
00011 1.0
001X1 1.0
10001 1.0
10001 1.0
10XX1 1.0
00001 1.0
10X00 1.0
000X1 1.0
10001 1.0
0001X 1.0
10011 1.0
00011 1.0
000X0 1.0
10000 1.0
0111X 0.125
0011X 0.125
0111X 0.125
0011X 0.125
0101X 0.125
0001X 0.125
0001X 0.125
0101X 0.125
00001 1.0
00001 1.0
10011 1.0
00000 1.0
00001 1.0
00000 1.0
00X11 1.0
100X1 1.0
10111 1.0
00000 1.0
00001 1.0
00111 1.0
10X0X 1.0
10001 1.0
10001 1.0
00001 1.0
10000 1.0
10XX1 1.0
0011X 1.0
10001 1.0
X00X1 1.0
10XX0 1.0
101X0 1.0
1X010 0.25
1X010 0.25
1X011 0.25
1X011 0.25
100X1 0.25
100X1 0.25
100X1 0.25
100X1 0.25
10011 0.5
10011 0.5
00111 1.0
100XX 1.0
00000 1.0
1001X 1.0
000X0 1.0
0000X 1.0
0111X 1.0
00X10 1.0
1001X 1.0
10X10 1.0
0001X 1.0
00X11 1.0
X0001 0.25
X0001 0.25
X0000 0.25
X0000 0.25
00001 1.0
0001X 1.0
00X1X 1.0
0000X 1.0
10101 1.0
1000X 1.0
0001X 1.0
00011 1.0
10000 1.0
001X0 1.0
10001 1.0
0000X 1.0
0001X 1.0
10011 1.0
00001 1.0
10011 1.0
00110 1.0
10000 1.0
000X0 0.5
000X0 0.5
00010 1.0
1001X 1.0
00001 1.0
0001X 1.0
0001X 1.0
00010 1.0
00010 1.0
00001 1.0
0011X 1.0
00000 1.0
1001X 1.0
100XX 1.0
0111X 1.0
0010X 1.0
0000X 1.0
000X1 1.0
0001X 1.0
10100 1.0
10000 1.0
00111 1.0
10110 1.0
11010 1.0
X0010 1.0
1001X 1.0
00X01 1.0
X000X 1.0
00011 1.0
0000X 1.0
0001X 1.0
0000X 1.0
0001X 1.0
1001X 1.0
10001 1.0
10XXX 1.0
10X00 1.0
00010 1.0
00110 1.0
00010 1.0
10001 1.0
10111 0.5
10111 0.5
X001X 1.0
0111X 1.0
1011X 1.0
1001X 1.0
X000X 1.0
00011 1.0
00XX1 1.0
10001 1.0
100XX 1.0
00010 1.0
0001X 1.0
10111 1.0
10X01 1.0
10111 1.0
00000 1.0
00XX1 1.0
1011X 1.0
00000 1.0
00000 0.5
00000 0.5
0001X 0.5
0000X 0.5
100X1 1.0
00000 1.0
000X0 1.0
00011 1.0
00011 1.0
100X1 1.0
00000 1.0
00000 1.0
X0111 1.0
00000 1.0
10010 1.0
00000 1.0
000XX 1.0
10001 1.0
00010 1.0
00000 1.0
1X11X 1.0
10000 1.0
1X01X 1.0
11011 1.0
00000 1.0
00000 1.0
000X1 1.0
00001 1.0
10011 1.0
10000 1.0
10001 0.25
10001 0.25
10011 0.25
10011 0.25
10001 1.0
100X1 1.0
00000 1.0
00001 1.0
10000 1.0
00000 1.0
00001 1.0
10111 1.0
00000 1.0
00000 1.0
10111 0.5
10111 0.5
10011 1.0
100X1 1.0
00XX1 1.0
10011 1.0
00000 0.5
00000 0.5
1000X 1.0
00000 1.0
10000 1.0
00001 1.0
00000 1.0
00001 1.0
000X1 1.0
00000 1.0
00011 0.5
00011 0.5
00001 1.0
00000 1.0
0001X 1.0
00001 1.0
00011 1.0
00001 1.0
00001 1.0
10001 1.0
000X1 1.0
00001 1.0
10010 0.5
10010 0.5
00011 1.0
00001 1.0
100XX 1.0
00000 1.0
00110 1.0
00011 1.0
00011 1.0
00101 1.0
10X10 1.0
00000 1.0
00001 1.0
000X1 1.0
10011 1.0
00XX1 1.0
10010 1.0
00000 1.0
00000 1.0
00000 1.0
X011X 1.0
00010 1.0
10011 0.5
10011 0.5
00001 1.0
10010 1.0
00001 1.0
10000 1.0
000X1 1.0
00001 1.0
10000 0.125
10000 0.125
00000 0.125
00000 0.125
10000 0.125
00000 0.125
10000 0.125
00000 0.125
00001 1.0
10001 1.0
00011 1.0
10001 1.0
0000X 1.0
00011 1.0
00001 1.0
00000 1.0
10010 1.0
00000 1.0
00010 1.0
10XX1 1.0
00001 1.0
00XX1 1.0
10011 1.0
00001 1.0
00011 1.0
10001 1.0
00001 1.0
00001 1.0
00001 1.0
10000 1.0
00111 1.0
000X1 1.0
10000 1.0
01111 1.0
X0011 1.0
00011 1.0
00011 1.0
100X0 1.0
00001 1.0
00001 1.0
0001X 1.0
10XX0 1.0
00001 1.0
00010 1.0
00001 1.0
00011 1.0
00001 1.0
00000 1.0
00111 1.0
10XX0 1.0
00011 1.0
00000 1.0
00000 1.0
10010 1.0
00001 1.0
0011X 1.0
00011 1.0
0000X 1.0
100X1 1.0
1001X 1.0
00011 1.0
00000 1.0
00111 1.0
00111 1.0
10000 1.0
00001 1.0
00011 1.0
00XXX 1.0
00000 1.0
10001 1.0
00000 1.0
00011 1.0
10XX1 1.0
10001 1.0
10111 1.0
00111 1.0
001X1 1.0
00X11 1.0
10111 1.0
00010 1.0
00000 1.0
10X1X 1.0
10X1X 1.0
00001 1.0
10001 1.0
00X1X 1.0
0000X 1.0
100X1 1.0
1111X 1.0
0000X 1.0
100X1 1.0
101XX 1.0
10001 1.0
00011 1.0
00011 1.0
00011 1.0
00XXX 1.0
00000 1.0
1000X 1.0
00X11 1.0
00000 0.5
00000 0.5
00001 1.0
0001X 1.0
X00X1 1.0
00111 1.0
0111X 1.0
00000 1.0
00000 1.0
0000X 1.0
00001 1.0
10001 1.0
10001 1.0
00001 1.0
10010 1.0
X01X1 1.0
00010 1.0
00000 1.0
00001 1.0
00X11 1.0
00001 1.0
100X0 1.0
10000 1.0
10001 1.0
00000 1.0
X0001 1.0
00000 1.0
00000 1.0
000X0 1.0
101X1 1.0
X1111 1.0
000X0 1.0
00111 1.0
01X1X 1.0
01111 1.0
10011 1.0
0000X 1.0
00010 1.0
X1111 1.0
00011 1.0
0000X 1.0
X001X 1.0
00001 1.0
01111 1.0
0000X 1.0
X0X00 1.0
00001 0.25
00001 0.25
00001 0.25
00001 0.25
0000X 1.0
00000 0.5
00001 0.5
0000X 1.0
00000 1.0
0000X 1.0
00000 1.0
10011 1.0
