455
5
11X1X 1.0
X1011 1.0
01111 1.0
01X11 0.5
01X11 0.5
01111 0.5
11111 0.5
01010 0.25
01010 0.25
01011 0.25
01011 0.25
X1111 1.0
01111 1.0
11111 1.0
11X11 1.0
X1101 1.0
11110 1.0
01111 1.0
01111 1.0
11111 1.0
11X11 1.0
11XX1 1.0
01111 1.0
01110 1.0
01100 1.0
01111 1.0
1111X 0.5
0111X 0.5
01111 1.0
X1111 1.0
X110X 1.0
00000 1.0
01111 1.0
01111 1.0
01111 1.0
01111 0.5
01111 0.5
01111 1.0
01111 1.0
01110 1.0
11110 1.0
01111 1.0
01111 1.0
01110 1.0
01111 1.0
01011 1.0
11111 1.0
01111 1.0
01111 1.0
X1111 1.0
01111 1.0
X1110 1.0
01111 1.0
00101 1.0
0111X 1.0
01111 1.0
01111 1.0
01100 1.0
01110 1.0
1111X 0.125
1111X 0.125
1111X 0.125
1111X 0.125
0111X 0.125
0111X 0.125
0111X 0.125
0111X 0.125
01111 1.0
01111 1.0
01111 1.0
01110 1.0
01101 1.0
0X100 1.0
X1111 1.0
01111 1.0
11111 1.0
01110 1.0
01111 1.0
11111 1.0
X11XX 1.0
01111 1.0
01111 1.0
01111 1.0
01110 1.0
X1111 1.0
1111X 1.0
01101 1.0
01111 1.0
X1100 1.0
11110 1.0
01100 0.25
01100 0.25
01101 0.25
01101 0.25
01111 0.25
00111 0.25
01111 0.25
00111 0.25
01111 0.5
01111 0.5
11111 1.0
0110X 1.0
01110 1.0
0110X 1.0
01110 1.0
0111X 1.0
1111X 1.0
X1110 1.0
0110X 1.0
X11X0 1.0
011XX 1.0
X1111 1.0
01111 0.25
01111 0.25
01110 0.25
01110 0.25
01111 1.0
0111X 1.0
X111X 1.0
0110X 1.0
11111 1.0
0110X 1.0
0110X 1.0
01111 1.0
01110 1.0
11110 1.0
011X1 1.0
0111X 1.0
0110X 1.0
01011 1.0
01011 1.0
01111 1.0
111X0 1.0
01100 1.0
01110 0.5
01110 0.5
011X0 1.0
0110X 1.0
01111 1.0
011XX 1.0
0111X 1.0
01100 1.0
01110 1.0
01111 1.0
1111X 1.0
011X0 1.0
0111X 1.0
0110X 1.0
1111X 1.0
1111X 1.0
0111X 1.0
01111 1.0
0110X 1.0
11110 1.0
01110 1.0
11111 1.0
11110 1.0
01110 1.0
01110 1.0
0111X 1.0
X1111 1.0
0110X 1.0
01111 1.0
011XX 1.0
011XX 1.0
0111X 1.0
0111X 1.0
0110X 1.0
01111 1.0
X111X 1.0
X1100 1.0
01110 1.0
11110 1.0
01100 1.0
01101 1.0
101X1 0.5
111X1 0.5
0111X 1.0
111XX 1.0
111XX 1.0
011XX 1.0
0110X 1.0
01111 1.0
X1111 1.0
00001 1.0
0111X 1.0
01110 1.0
011XX 1.0
11111 1.0
X1011 1.0
111X1 1.0
01100 1.0
X1111 1.0
1110X 1.0
01100 1.0
00100 0.5
00100 0.5
0110X 0.5
0110X 0.5
01101 1.0
01X00 1.0
01110 1.0
01111 1.0
01111 1.0
01111 1.0
01X00 1.0
00100 1.0
111X1 1.0
01110 1.0
01110 1.0
01110 1.0
0111X 1.0
01101 1.0
01000 1.0
01110 1.0
111XX 1.0
01110 1.0
0111X 1.0
01111 1.0
01110 1.0
01110 1.0
011X1 1.0
01111 1.0
01111 1.0
