455
5
1011X 1.0
X0X11 1.0
00011 1.0
00X11 0.5
00X11 0.5
00X11 0.5
00X11 0.5
11010 0.25
11010 0.25
11011 0.25
11011 0.25
00X11 1.0
11011 1.0
10111 1.0
10111 1.0
11101 1.0
10110 1.0
01011 1.0
10X11 1.0
10111 1.0
10111 1.0
101X1 1.0
10011 1.0
00110 1.0
10000 1.0
10111 1.0
1011X 0.5
1011X 0.5
10111 1.0
11111 1.0
01X0X 1.0
00000 1.0
01011 1.0
01011 1.0
00011 1.0
10111 0.5
10111 0.5
11011 1.0
01011 1.0
01110 1.0
00110 1.0
11011 1.0
10011 1.0
11010 1.0
01011 1.0
10111 1.0
10X11 1.0
11011 1.0
11011 1.0
01X11 1.0
00011 1.0
11010 1.0
X0X11 1.0
01001 1.0
1011X 1.0
01111 1.0
10111 1.0
00X00 1.0
11010 1.0
1011X 0.125
1011X 0.125
1011X 0.125
1011X 0.125
1011X 0.125
1011X 0.125
1011X 0.125
1011X 0.125
00011 1.0
00011 1.0
01111 1.0
00010 1.0
10001 1.0
10000 1.0
10111 1.0
01X11 1.0
11111 1.0
00010 1.0
00011 1.0
10111 1.0
110XX 1.0
11011 1.0
01011 1.0
00011 1.0
01010 1.0
01X11 1.0
0011X 1.0
11001 1.0
0XX11 1.0
11X00 1.0
01X10 1.0
01100 0.25
01100 0.25
01101 0.25
01101 0.25
11X11 0.25
11X11 0.25
11X11 0.25
11X11 0.25
11111 0.5
01111 0.5
00111 1.0
11X0X 1.0
10010 1.0
0110X 1.0
00X10 1.0
1001X 1.0
1011X 1.0
00110 1.0
0110X 1.0
011X0 1.0
001XX 1.0
00111 1.0
0X011 0.25
0X011 0.25
0X010 0.25
0X010 0.25
10011 1.0
0011X 1.0
0011X 1.0
1000X 1.0
01011 1.0
X100X 1.0
1010X 1.0
10111 1.0
01010 1.0
10X10 1.0
110X1 1.0
0001X 1.0
1010X 1.0
11111 1.0
00011 1.0
01111 1.0
001X0 1.0
11000 1.0
00X10 0.5
00X10 0.5
101X0 1.0
0110X 1.0
10011 1.0
001XX 1.0
0011X 1.0
10100 1.0
10110 1.0
10011 1.0
0011X 1.0
100X0 1.0
1111X 1.0
11X0X 1.0
1011X 1.0
1001X 1.0
1001X 1.0
10X11 1.0
X010X 1.0
11010 1.0
01010 1.0
10111 1.0
11110 1.0
11110 1.0
1X110 1.0
1111X 1.0
00011 1.0
1X00X 1.0
00111 1.0
100XX 1.0
101XX 1.0
1001X 1.0
1011X 1.0
1110X 1.0
11011 1.0
11X1X 1.0
11000 1.0
10110 1.0
10110 1.0
X0100 1.0
01001 1.0
